ds,yhat,yhat_lower,yhat_upper
2026-01-01,2.220538937062277,1.8069001457794027,2.63372435103919
2026-01-02,2.2143283517888364,1.8280478071662494,2.6394295695487293
2026-01-03,2.1783158233957898,1.7630325664737108,2.602816543971823
2026-01-04,2.184481263324849,1.7566697724261393,2.594082063807723
2026-01-05,2.2199801665223107,1.7818220458671687,2.66065896394389
2026-01-06,2.2322864699081686,1.8156304388525333,2.6576220248626106
2026-01-07,2.249964483779535,1.8583015010720796,2.6757435444187494
2026-01-08,2.2313712004536566,1.7848503652785945,2.6452461485878325
2026-01-09,2.222350578847082,1.83793659770187,2.633859335217698
2026-01-10,2.183766291380973,1.7780045863730372,2.5876711329529316
2026-01-11,2.1876370462109063,1.8060032684130083,2.588309385280678
2026-01-12,2.2211490675068988,1.835891610141803,2.6515640355608285
2026-01-13,2.231798392066437,1.8139645710480214,2.6248215202434944
2026-01-14,2.248162473604979,1.8523235506845406,2.6291457401908724
