ds,yhat,yhat_lower,yhat_upper
2026-01-01,9.66762580551608,9.2412835260588,10.147035228053111
2026-01-02,9.721455505752667,9.250625314141129,10.194114013531333
2026-01-03,8.097014447814288,7.668271070464995,8.582080370387743
2026-01-04,8.090845842087667,7.603809619879991,8.537161752995798
2026-01-05,9.724801246384693,9.296515310036309,10.16906038308258
2026-01-06,9.66446059187372,9.232332469972118,10.139433179450753
2026-01-07,9.788726378367794,9.285665054505856,10.235927299584088
2026-01-08,9.821355957767512,9.34610273483057,10.294776535560475
2026-01-09,9.771606571619321,9.272321339148126,10.250831586266083
2026-01-10,8.028988150399774,7.5551194797436665,8.52572357110386
2026-01-11,8.038701772448487,7.573853299132075,8.505480933149027
2026-01-12,9.85994022308721,9.43786844633046,10.303793969299116
2026-01-13,9.85957221921237,9.428564636511927,10.347331328790043
2026-01-14,9.767926140406317,9.281968377223567,10.22070173839867
